iter	Logloss
0	0.6882145168
1	0.6827693089
2	0.6792131742
3	0.6747171428
4	0.6703249775
5	0.6646834215
6	0.66081241
7	0.6562348436
8	0.6518898398
9	0.647939231
10	0.6439060189
11	0.6404828
12	0.6365596401
13	0.6324270855
14	0.6284354227
15	0.624536969
16	0.6201571268
17	0.6161392782
18	0.614210395
19	0.6099716223
20	0.6063776536
21	0.6024181762
22	0.5988991274
23	0.5961046226
24	0.5923732776
25	0.589828167
26	0.5859272021
27	0.5829936058
28	0.5789147309
29	0.5755484441
30	0.5727035474
31	0.5696323285
32	0.5667400924
33	0.563602096
34	0.5607419156
35	0.5581906396
36	0.5548497906
37	0.5523373023
38	0.5492189396
39	0.5458864018
40	0.5431852896
41	0.5405653583
42	0.5370905427
43	0.5343828985
44	0.5311674084
45	0.5286851195
46	0.5261284542
47	0.5243537956
48	0.5225933818
49	0.5207048223
50	0.518390579
51	0.5154817835
52	0.5129611087
53	0.5097901651
54	0.5075454341
55	0.5053473833
56	0.5023113998
57	0.4987257257
58	0.4967032783
59	0.4941170785
60	0.4916541719
61	0.4891876905
62	0.4863763951
63	0.4841888142
64	0.4816715888
65	0.4781680668
66	0.4759373108
67	0.473554449
68	0.4717830994
69	0.4689812982
70	0.466483972
71	0.4645325516
72	0.461885038
73	0.4595904726
74	0.4567517854
75	0.4540497846
76	0.4517763417
77	0.4497166368
78	0.4479437572
79	0.4463252948
80	0.444435046
81	0.4420755158
82	0.4396266136
83	0.4377503716
84	0.4353571487
85	0.4325122583
86	0.4307021414
87	0.4291436083
88	0.4277266643
89	0.4260172555
90	0.4244520377
91	0.4235087362
92	0.4218898407
93	0.4200932413
94	0.4179666891
95	0.4159796289
96	0.4140255898
97	0.4124197506
98	0.4103587922
99	0.4080459831
100	0.4057626959
101	0.4040266837
102	0.4024504701
103	0.4006491441
104	0.3989355985
105	0.3976161374
106	0.3961647544
107	0.394110048
108	0.3926020094
109	0.3914232226
110	0.3897922192
111	0.3882630762
112	0.3861565704
113	0.3846293568
114	0.3823941612
115	0.3809996254
116	0.3793646009
117	0.3776120763
118	0.3757238811
119	0.3743326462
120	0.3726004613
121	0.3712545397
122	0.3694015169
123	0.3674619691
124	0.3654489194
125	0.3638513771
126	0.3621500718
127	0.3612297232
128	0.3600500273
129	0.3586244465
130	0.3573093854
131	0.3555584068
132	0.3545144908
133	0.3534076376
134	0.3524182612
135	0.3512653145
136	0.3502276775
137	0.3488177929
138	0.3475674559
139	0.3458412494
140	0.3446025779
141	0.34385264
142	0.3425400318
143	0.3408562733
144	0.3398251697
145	0.3387396449
146	0.3372721983
147	0.3361925168
148	0.3350650434
149	0.333787307
150	0.3319007748
151	0.3305570887
152	0.3287827482
153	0.3281723889
154	0.3270810775
155	0.3256067341
156	0.3241169016
157	0.3228285097
158	0.3219032083
159	0.3205292487
160	0.3196114041
161	0.3185217208
162	0.3174772165
163	0.3160600033
164	0.3148280233
165	0.3136268931
166	0.3124541568
167	0.3111828763
168	0.309824772
169	0.30884887
170	0.3072397311
171	0.3060513609
172	0.3049685396
173	0.303774516
174	0.3023301218
175	0.3006961913
176	0.2994254442
177	0.2979340021
178	0.2967442039
179	0.2955025322
180	0.2944120975
181	0.2937379811
182	0.2928982634
183	0.2916864631
184	0.2904841752
185	0.2893956561
186	0.2883385901
187	0.2876111837
188	0.2865685193
189	0.2853398925
190	0.2843825848
191	0.283690976
192	0.2827913549
193	0.2817291733
194	0.2808855726
195	0.2799662849
196	0.2789505689
197	0.2778261119
198	0.2770953495
199	0.276056732
200	0.2752178368
201	0.2742605785
202	0.2732796419
203	0.2727494522
204	0.2719030121
205	0.2711952047
206	0.2705450344
207	0.269068192
208	0.2681009914
209	0.2674919905
210	0.2669558301
211	0.265604293
212	0.2644186867
213	0.2632047955
214	0.2623077996
215	0.2616294682
216	0.2609288124
217	0.2600939019
218	0.259397708
219	0.2585510223
220	0.2574332892
221	0.2564408291
222	0.2551844723
223	0.2542630156
224	0.2534849918
225	0.2523096053
226	0.2516523572
227	0.2511249114
228	0.2501243979
229	0.2496566708
230	0.2489426765
231	0.2480212861
232	0.2472202882
233	0.2464355967
234	0.2456364832
235	0.2448372935
236	0.2437260941
237	0.2431587595
238	0.2422075162
239	0.2414013368
240	0.2407926717
241	0.2399585118
242	0.2391585648
243	0.2384863631
244	0.2377014302
245	0.2370132468
246	0.2362962758
247	0.2357741286
248	0.2352439267
249	0.2345627899
250	0.233849171
251	0.2332035319
252	0.2326471363
253	0.2318605656
254	0.2314012819
255	0.2306827036
256	0.2300043174
257	0.2291797125
258	0.2286095104
259	0.2276668297
260	0.2267048574
261	0.2262016239
262	0.2257168825
263	0.2250850108
264	0.2244995749
265	0.2239894236
266	0.2234037305
267	0.2228739439
268	0.2219626852
269	0.2216824978
270	0.2209812615
271	0.2201542798
272	0.2192273647
273	0.2185180787
274	0.2181418625
275	0.2172925644
276	0.2166239939
277	0.2159707444
278	0.2153614779
279	0.2145373356
280	0.2139286861
281	0.2133041307
282	0.2127867159
283	0.2125364996
284	0.2117117363
285	0.211267606
286	0.210972935
287	0.2105420796
288	0.210020386
289	0.2094575437
290	0.2089862876
291	0.2086191759
292	0.2078550363
293	0.2069898283
294	0.2063720179
295	0.2058305994
296	0.205260163
297	0.2048513031
298	0.2043002535
299	0.203190345
300	0.2027499682
301	0.2020692636
302	0.2015398237
303	0.2010413992
304	0.2004706576
305	0.1998711991
306	0.1991138189
307	0.198465074
308	0.1979717195
309	0.1971752478
310	0.1962574159
311	0.1956030159
312	0.195233882
313	0.1947580509
314	0.1941578896
315	0.1937814704
316	0.1932435892
317	0.1926650209
318	0.1921991502
319	0.1916707339
320	0.191229869
321	0.1909606293
322	0.1903261754
323	0.1895700229
324	0.1891686751
325	0.1886332094
326	0.1882358805
327	0.187575645
328	0.1869892079
329	0.1865950352
330	0.1861541628
331	0.1856080514
332	0.1851650753
333	0.1846298432
334	0.1838952202
335	0.1832782822
336	0.1826398608
337	0.1822242811
338	0.1818724607
339	0.1812326923
340	0.1803206026
341	0.1798837829
342	0.1796039604
343	0.1789935605
344	0.1786587163
345	0.1784194514
346	0.1778643673
347	0.1774754558
348	0.1771124162
349	0.1765087117
350	0.1760116614
351	0.17518909
352	0.1748442319
353	0.174293617
354	0.1738469312
355	0.1732951725
356	0.172907568
357	0.1725317944
358	0.1720530156
359	0.1715458521
360	0.1710897898
361	0.1703802531
362	0.1699184252
363	0.1691645646
364	0.168750441
365	0.1684089704
366	0.1679399658
367	0.1675636396
368	0.1671931884
369	0.166561694
370	0.1658413178
371	0.1654710563
372	0.1649005026
373	0.1642125821
374	0.1638440785
375	0.1634165858
376	0.1629766278
377	0.162432969
378	0.1620159752
379	0.161461714
380	0.160929633
381	0.1605979117
382	0.1601563512
383	0.1599549368
384	0.1596540249
385	0.1594306604
