iter	Passed	Remaining
0	12	12300
1	23	11637
2	31	10604
3	41	10361
4	54	10773
5	67	11153
6	75	10706
7	83	10309
8	92	10144
9	99	9866
10	107	9625
11	115	9545
12	126	9605
13	134	9439
14	142	9367
15	151	9337
16	161	9313
17	171	9339
18	181	9357
19	190	9343
20	201	9373
21	211	9390
22	222	9439
23	232	9451
24	243	9494
25	254	9517
26	263	9504
27	276	9582
28	286	9580
29	297	9629
30	305	9560
31	316	9565
32	328	9634
33	341	9697
34	361	9955
35	371	9940
36	381	9919
37	391	9911
38	402	9923
39	413	9927
40	423	9911
41	434	9914
42	448	9981
43	462	10040
44	476	10120
45	494	10257
46	510	10360
47	521	10341
48	532	10338
49	546	10384
50	559	10407
51	571	10420
52	598	10685
53	620	10877
54	721	12390
55	793	13376
56	834	13801
57	872	14169
58	883	14083
59	898	14069
60	909	14001
61	921	13938
62	932	13865
63	945	13828
64	955	13749
65	968	13709
66	979	13641
67	989	13565
68	1002	13528
69	1018	13525
70	1032	13507
71	1044	13467
72	1060	13461
73	1074	13447
74	1087	13413
75	1099	13365
76	1111	13319
77	1127	13324
78	1141	13303
79	1152	13255
80	1164	13215
81	1178	13198
82	1191	13161
83	1208	13174
84	1223	13170
85	1235	13129
86	1251	13134
87	1261	13074
88	1275	13052
89	1284	12988
90	1295	12942
91	1306	12892
92	1317	12844
93	1328	12805
94	1343	12801
95	1365	12856
96	1386	12905
97	1410	12986
98	1422	12949
99	1449	13045
100	1466	13052
101	1479	13027
102	1498	13047
103	1516	13061
104	1529	13032
105	1569	13238
106	1586	13244
107	1621	13391
108	1635	13371
109	1647	13332
110	1667	13354
111	1694	13431
112	1711	13430
113	1724	13406
114	1745	13429
115	1755	13381
116	1770	13364
117	1783	13332
118	1804	13357
119	1815	13312
120	1825	13263
121	1837	13223
122	1853	13217
123	1869	13207
124	1879	13159
125	1890	13114
126	1902	13075
127	1924	13113
128	1954	13198
129	1998	13372
130	2039	13530
131	2071	13620
132	2105	13722
133	2112	13655
134	2121	13591
135	2129	13526
136	2136	13458
137	2145	13399
138	2153	13339
139	2161	13278
140	2169	13214
141	2176	13150
142	2183	13087
143	2190	13023
144	2198	12965
145	2207	12912
146	2216	12863
147	2224	12803
148	2231	12745
149	2238	12685
150	2246	12630
151	2253	12571
152	2260	12512
153	2267	12456
154	2275	12406
155	2283	12354
156	2290	12299
157	2297	12244
158	2305	12195
159	2312	12141
160	2320	12090
161	2329	12048
162	2338	12005
163	2346	11960
164	2355	11919
165	2365	11883
166	2375	11850
167	2384	11806
168	2392	11762
169	2401	11724
170	2410	11687
171	2419	11646
172	2426	11599
173	2435	11561
174	2445	11526
175	2454	11489
176	2462	11450
177	2471	11414
178	2479	11372
179	2486	11326
180	2493	11282
181	2501	11243
182	2509	11203
183	2516	11161
184	2524	11119
185	2532	11081
186	2540	11043
187	2547	11003
188	2555	10965
189	2563	10926
190	2570	10889
191	2580	10858
192	2587	10819
193	2594	10780
194	2602	10742
195	2610	10707
196	2618	10671
197	2625	10633
198	2632	10597
199	2640	10561
200	2647	10523
201	2655	10489
202	2663	10455
203	2670	10418
204	2677	10382
205	2685	10349
206	2692	10313
207	2699	10278
208	2707	10247
209	2715	10213
210	2722	10179
211	2729	10144
212	2737	10114
213	2744	10079
214	2751	10046
215	2758	10011
216	2765	9978
217	2772	9945
218	2780	9914
219	2787	9881
220	2793	9848
221	2801	9817
222	2808	9787
223	2815	9753
224	2822	9723
225	2831	9698
226	2840	9674
227	2850	9650
228	2858	9624
229	2869	9604
230	2877	9579
231	2886	9555
232	2896	9534
233	2906	9513
234	2914	9486
235	2921	9459
236	2930	9433
237	2938	9407
238	2945	9380
239	2953	9352
240	2960	9322
241	2968	9299
242	2975	9270
243	2982	9241
244	2989	9211
245	2997	9187
246	3004	9160
247	3011	9132
248	3018	9104
249	3027	9081
250	3035	9057
251	3043	9033
252	3050	9005
253	3056	8978
254	3064	8954
255	3072	8929
256	3079	8903
257	3086	8875
258	3094	8852
259	3101	8828
260	3109	8803
261	3115	8776
262	3123	8752
263	3131	8731
264	3139	8707
265	3145	8680
266	3153	8656
267	3161	8634
268	3168	8611
269	3176	8588
270	3183	8564
271	3193	8547
272	3208	8545
273	3216	8522
274	3225	8503
275	3232	8479
276	3240	8457
277	3248	8435
278	3256	8414
279	3264	8395
280	3272	8374
281	3280	8351
282	3289	8333
283	3297	8313
284	3306	8294
285	3315	8277
286	3325	8262
287	3332	8239
288	3339	8216
289	3346	8193
290	3354	8173
291	3362	8152
292	3369	8130
293	3376	8108
294	3384	8089
295	3392	8069
296	3400	8048
297	3407	8026
298	3414	8005
299	3423	7987
300	3430	7965
301	3437	7944
302	3444	7923
303	3452	7903
304	3461	7886
305	3469	7868
306	3476	7846
307	3485	7830
308	3492	7809
309	3499	7789
310	3506	7768
311	3515	7751
312	3521	7729
313	3528	7709
314	3536	7689
315	3543	7669
316	3551	7652
317	3558	7632
318	3566	7614
319	3573	7594
320	3582	7577
321	3589	7558
322	3597	7540
323	3604	7520
324	3612	7502
325	3619	7483
326	3626	7464
327	3633	7444
328	3640	7424
329	3648	7408
330	3655	7389
331	3663	7370
332	3669	7350
333	3677	7333
334	3685	7316
335	3692	7297
336	3699	7278
337	3706	7260
338	3715	7244
339	3723	7227
340	3730	7208
341	3738	7192
342	3745	7175
343	3752	7156
344	3759	7138
345	3766	7119
346	3774	7103
347	3784	7091
348	3792	7073
349	3799	7055
350	3808	7042
351	3815	7024
352	3823	7008
353	3830	6991
354	3838	6974
355	3846	6958
356	3854	6941
357	3861	6924
358	3869	6908
359	3877	6893
360	3885	6877
361	3892	6859
362	3900	6845
363	3910	6833
364	3918	6816
365	3925	6799
366	3932	6782
367	3940	6767
368	3948	6751
369	3955	6735
370	3964	6720
371	3972	6705
372	3979	6689
373	3986	6673
374	3993	6656
375	4000	6639
376	4009	6624
377	4016	6608
378	4023	6593
379	4031	6577
380	4039	6562
381	4046	6545
382	4053	6529
383	4059	6512
384	4067	6496
385	4074	6481
386	4081	6465
387	4089	6451
388	4096	6434
389	4105	6421
390	4113	6407
391	4120	6391
392	4129	6377
393	4138	6365
394	4146	6350
395	4153	6335
396	4167	6330
397	4176	6316
398	4183	6301
399	4191	6286
400	4198	6272
401	4207	6258
402	4215	6245
403	4222	6229
404	4231	6217
405	4240	6203
406	4251	6194
407	4262	6184
408	4272	6173
409	4281	6160
410	4288	6145
411	4298	6134
412	4306	6120
413	4313	6106
414	4322	6093
415	4330	6079
416	4338	6066
417	4346	6052
418	4356	6040
419	4368	6032
420	4377	6019
421	4386	6007
422	4395	5996
423	4403	5981
424	4411	5968
425	4420	5956
426	4430	5944
427	4437	5930
428	4445	5917
429	4454	5905
430	4461	5890
431	4470	5877
432	4479	5865
433	4486	5850
434	4498	5843
435	4506	5828
436	4514	5815
437	4522	5803
438	4530	5789
439	4538	5776
440	4545	5761
441	4555	5751
442	4563	5738
443	4572	5725
444	4581	5714
445	4589	5700
446	4597	5687
447	4604	5672
448	4611	5658
449	4619	5645
450	4627	5632
451	4635	5619
452	4642	5605
453	4651	5593
454	4659	5580
455	4666	5566
456	4672	5551
457	4679	5538
458	4687	5524
459	4695	5512
460	4703	5499
461	4711	5486
462	4718	5473
463	4726	5459
464	4733	5446
465	4740	5431
466	4748	5419
467	4755	5405
468	4762	5392
469	4773	5382
470	4780	5368
471	4789	5357
472	4797	5344
473	4804	5331
474	4813	5319
475	4820	5306
476	4827	5293
477	4835	5280
478	4848	5273
479	4855	5260
480	4864	5248
481	4872	5236
482	4879	5223
483	4886	5210
484	4894	5197
485	4902	5184
486	4910	5172
487	4916	5158
488	4924	5145
489	4933	5135
490	4943	5124
491	4951	5112
492	4959	5100
493	4970	5090
494	4979	5079
495	4986	5067
496	4993	5054
497	5001	5041
498	5009	5029
499	5016	5016
500	5023	5003
501	5031	4991
502	5039	4979
503	5047	4967
504	5056	4955
505	5063	4943
506	5071	4931
507	5078	4919
508	5088	4908
509	5096	4896
510	5105	4885
511	5112	4872
512	5120	4860
513	5126	4847
514	5134	4835
515	5141	4822
516	5149	4810
517	5157	4799
518	5165	4787
519	5173	4775
520	5181	4763
521	5191	4753
522	5198	4741
523	5206	4729
524	5214	4717
525	5223	4706
526	5230	4694
527	5237	4681
528	5246	4671
529	5254	4659
530	5261	4647
531	5268	4634
532	5276	4622
533	5282	4610
534	5291	4599
535	5300	4588
536	5310	4579
537	5319	4568
538	5327	4556
539	5336	4546
540	5343	4533
541	5352	4522
542	5360	4511
543	5370	4501
544	5379	4491
545	5391	4482
546	5400	4472
547	5408	4461
548	5416	4449
549	5423	4437
550	5430	4425
551	5440	4415
552	5448	4403
553	5455	4392
554	5465	4382
555	5473	4371
556	5485	4362
557	5494	4352
558	5503	4341
559	5511	4330
560	5518	4318
561	5530	4310
562	5537	4298
563	5546	4287
564	5554	4276
565	5564	4266
566	5572	4255
567	5579	4243
568	5586	4231
569	5597	4222
570	5604	4211
571	5612	4199
572	5622	4190
573	5629	4178
574	5636	4166
575	5644	4155
576	5654	4145
577	5662	4134
578	5670	4122
579	5678	4111
580	5685	4099
581	5694	4090
582	5702	4078
583	5710	4067
584	5720	4058
585	5728	4047
586	5736	4035
587	5747	4027
588	5754	4015
589	5764	4006
590	5772	3994
591	5781	3984
592	5791	3974
593	5798	3963
594	5806	3952
595	5813	3940
596	5823	3930
597	5830	3919
598	5838	3908
599	5845	3897
600	5852	3885
601	5862	3875
602	5869	3864
603	5877	3853
604	5885	3842
605	5892	3831
606	5899	3819
607	5907	3809
608	5916	3798
609	5926	3788
610	5935	3778
611	5943	3767
612	5952	3757
613	5961	3747
614	5969	3737
615	5977	3726
616	5987	3716
617	5994	3705
618	6003	3695
619	6011	3684
620	6021	3675
621	6029	3664
622	6037	3653
623	6047	3644
624	6055	3633
625	6063	3622
626	6071	3611
627	6085	3604
628	6093	3594
629	6102	3583
630	6112	3574
631	6120	3563
632	6127	3552
633	6136	3542
634	6145	3532
635	6153	3521
636	6161	3511
637	6173	3502
638	6184	3494
639	6191	3482
640	6200	3472
641	6207	3461
642	6217	3452
643	6227	3442
644	6235	3431
645	6243	3421
646	6253	3411
647	6266	3404
648	6273	3393
649	6285	3384
650	6295	3374
651	6306	3366
652	6313	3355
653	6324	3345
654	6332	3335
655	6340	3325
656	6348	3314
657	6356	3304
658	6364	3293
659	6372	3283
660	6379	3272
661	6391	3263
662	6400	3253
663	6408	3243
664	6418	3233
665	6426	3222
666	6435	3212
667	6443	3202
668	6450	3191
669	6458	3180
670	6469	3171
671	6481	3163
672	6489	3153
673	6500	3144
674	6507	3133
675	6515	3122
676	6526	3113
677	6532	3102
678	6539	3091
679	6546	3080
680	6554	3070
681	6562	3059
682	6569	3049
683	6576	3038
684	6584	3028
685	6592	3017
686	6599	3006
687	6607	2996
688	6614	2985
689	6622	2975
690	6630	2964
691	6637	2954
692	6643	2943
693	6652	2933
694	6660	2923
695	6667	2912
696	6674	2901
697	6681	2890
698	6690	2880
699	6697	2870
700	6703	2859
701	6711	2849
702	6719	2838
703	6726	2828
704	6734	2817
705	6741	2807
706	6749	2797
707	6761	2788
708	6768	2778
709	6775	2767
710	6784	2757
711	6792	2747
712	6798	2736
713	6806	2726
714	6814	2716
715	6822	2706
716	6830	2696
717	6838	2685
718	6846	2675
719	6853	2665
720	6861	2655
721	6872	2646
722	6881	2636
723	6888	2625
724	6896	2615
725	6903	2605
726	6912	2595
727	6921	2586
728	6929	2576
729	6938	2566
730	6949	2557
731	6957	2547
732	6965	2537
733	6973	2527
734	6981	2517
735	6988	2506
736	6997	2497
737	7005	2486
738	7012	2476
739	7020	2466
740	7028	2456
741	7035	2446
742	7043	2436
743	7050	2425
744	7057	2415
745	7064	2405
746	7071	2395
747	7079	2385
748	7088	2375
749	7096	2365
750	7104	2355
751	7112	2345
752	7119	2335
753	7128	2325
754	7135	2315
755	7143	2305
756	7149	2295
757	7157	2285
758	7165	2275
759	7173	2265
760	7180	2255
761	7188	2245
762	7197	2235
763	7206	2226
764	7213	2215
765	7221	2206
766	7228	2195
767	7236	2186
768	7244	2176
769	7252	2166
770	7259	2156
771	7267	2146
772	7276	2136
773	7284	2127
774	7293	2117
775	7300	2107
776	7309	2097
777	7317	2088
778	7328	2078
779	7335	2069
780	7343	2059
781	7352	2049
782	7360	2039
783	7367	2029
784	7374	2019
785	7383	2010
786	7392	2000
787	7401	1991
788	7410	1981
789	7419	1972
790	7431	1963
791	7440	1954
792	7448	1944
793	7456	1934
794	7464	1924
795	7474	1915
796	7482	1905
797	7491	1896
798	7501	1887
799	7511	1877
800	7522	1868
801	7529	1858
802	7538	1849
803	7547	1839
804	7554	1830
805	7563	1820
806	7572	1811
807	7581	1801
808	7589	1791
809	7598	1782
810	7607	1772
811	7615	1763
812	7622	1753
813	7631	1743
814	7640	1734
815	7650	1725
816	7658	1715
817	7667	1706
818	7676	1696
819	7686	1687
820	7696	1678
821	7706	1668
822	7718	1659
823	7725	1650
824	7734	1640
825	7744	1631
826	7752	1621
827	7759	1611
828	7769	1602
829	7778	1593
830	7787	1583
831	7798	1574
832	7807	1565
